                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.66947,                 0.5126,                0.76318,                0.88433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.032526,             0.00052587,             0.00052587
                     70,                0.57147,                0.37223,                0.72613,                 0.9098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.031531,              0.0005313,              0.0005313
                     71,                 0.8166,                0.42504,                 1.3969,                 1.0153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.030537,             0.00053667,             0.00053667
                     72,                0.58839,                0.50623,                0.67426,                0.88057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.029542,             0.00054197,             0.00054197
                     73,                0.56562,                0.47711,                0.69522,                0.90374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.028547,              0.0005472,              0.0005472
                     74,                0.61017,                0.38443,                 0.7806,                0.89377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.027552,             0.00055237,             0.00055237
                     75,                0.56925,                 0.3967,                0.68495,                0.88863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.026557,             0.00055747,             0.00055747
                     76,                0.65688,                0.36255,                 1.1447,                0.98075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.025563,              0.0005625,              0.0005625
                     77,                0.76462,                0.48382,                0.71271,                0.87724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.024567,             0.00056747,             0.00056747
                     78,                0.85528,                0.64091,                0.87621,                0.89035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.023572,             0.00057237,             0.00057237
                     79,                 0.7401,                0.41514,                0.72823,                0.84359,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.022577,              0.0005772,              0.0005772
                     80,                0.72695,                0.48348,                 1.6306,                 1.0221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.021582,             0.00058197,             0.00058197
                     81,                0.64646,                0.48173,                 1.3362,                  0.988,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.020587,             0.00058667,             0.00058667
                     82,                0.67964,                0.54453,                0.70425,                0.86059,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.019591,              0.0005913,              0.0005913
                     83,                0.55481,                0.38383,                0.76728,                0.89443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.018596,             0.00059587,             0.00059587
                     84,                0.70074,                 0.5951,                 0.6846,                0.89391,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                 0.0176,             0.00060037,             0.00060037
                     85,                0.55439,                0.43473,                0.76925,                0.90871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.016605,              0.0006048,              0.0006048
                     86,                0.56973,                0.36733,                0.68775,                0.88892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.015609,             0.00060917,             0.00060917
                     87,                0.54491,                0.62324,                 0.6647,                0.85595,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.014613,             0.00061347,             0.00061347
                     88,                 0.5615,                0.41747,                0.82325,                0.89677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.013618,              0.0006177,              0.0006177
                     89,                0.50436,                 0.4113,                0.84654,                0.90525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.012622,             0.00062187,             0.00062187
                     90,                0.67684,                 0.7354,                0.68563,                0.87371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.011626,             0.00062597,             0.00062597
                     91,                0.58704,                 0.4558,                0.70412,                0.88112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.01063,                0.00063,                0.00063
                     92,                0.59183,                 0.5105,                0.66864,                0.89768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.009634,             0.00063397,             0.00063397
                     93,                 0.5614,                0.56705,                0.65248,                0.85763,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0086379,             0.00063787,             0.00063787
                     94,                0.62845,                0.64687,                0.66263,                0.86896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0076417,              0.0006417,              0.0006417
                     95,                0.61971,                0.59616,                 0.6863,                 0.8634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0066455,             0.00064547,             0.00064547
                     96,                0.47454,                  0.389,                0.76983,                0.87289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0056492,             0.00064917,             0.00064917
                     97,                0.50173,                0.52989,                0.73535,                0.90282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0046528,              0.0006528,              0.0006528
                     98,                  0.622,                0.41847,                0.66681,                 0.8783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0036564,             0.00065637,             0.00065637
                     99,                0.61829,                0.49219,                0.67749,                 0.8752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0026599,             0.00065987,             0.00065987
                    100,                0.52404,                0.40252,                0.67295,                0.90101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0016633,              0.0006633,              0.0006633
                    101,                0.56747,                0.41425,                0.93005,                0.94214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00066667,             0.00066667,             0.00066667
                    102,                0.52135,                0.42392,                0.74107,                0.90768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00066667,             0.00066667,             0.00066667
