                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    165,                 0.9973,                0.72876,                0.87746,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00045667,             0.00045667,             0.00045667
                    166,                 0.9811,                0.74417,                 0.8854,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00045333,             0.00045333,             0.00045333
                    167,                 1.0425,                0.80374,                0.98588,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00045,                0.00045,                0.00045
                    168,                0.88333,                  0.713,                0.92545,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00044667,             0.00044667,             0.00044667
                    169,                 1.1054,                0.73178,                0.94412,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00044333,             0.00044333,             0.00044333
                    170,                 1.1622,                 1.0905,                 1.1504,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00044,                0.00044,                0.00044
                    171,                  1.102,                0.80454,                0.94663,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00043667,             0.00043667,             0.00043667
                    172,                 1.2743,                0.80244,                0.95394,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00043333,             0.00043333,             0.00043333
                    173,                 1.1859,                0.77675,                0.90939,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00043,                0.00043,                0.00043
                    174,                  1.129,                0.74792,                 0.9135,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00042667,             0.00042667,             0.00042667
                    175,                 1.1363,                0.76862,                0.93648,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00042333,             0.00042333,             0.00042333
                    176,                 1.0284,                0.74427,                0.89921,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00042,                0.00042,                0.00042
                    177,                 1.0016,                0.68186,                0.90189,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041667,             0.00041667,             0.00041667
